temperature_C,humidity_pct,hour_of_day,cloud_cover_pct,people_in_room,room_size_m2,wall_material,fan_speed,season,cooling_needed
46.9,55,10,4,1,21,Brick,3,Summer,Yes
20.7,67,23,32,3,25,Concrete,1,Autumn,No
32.2,72,15,32,1,14,Mud,3,Summer,Yes
23.7,50,10,80,4,20,Concrete,1,Spring,No
26.0,67,9,46,2,29,Brick,1,Spring,No
19.3,45,3,50,5,39,Mud,0,Spring,No
29.6,48,23,93,1,27,Brick,1,Spring,Yes
30.9,67,13,98,0,28,Brick,2,Spring,No
44.5,51,5,50,1,23,Mud,3,Summer,Yes
24.0,69,13,5,1,30,Concrete,1,Autumn,No
33.4,41,19,86,5,14,Brick,3,Autumn,No
25.7,44,13,64,6,32,Brick,1,Autumn,No
21.1,51,5,84,0,17,Brick,2,Winter,No
37.9,69,16,58,1,28,Brick,3,Summer,Yes
25.3,58,22,21,3,12,Mud,1,Spring,No
24.5,43,19,41,6,16,Brick,2,Autumn,No
24.0,37,8,3,1,25,Concrete,2,Spring,No
35.1,73,21,39,0,18,Concrete,2,Summer,Yes
20.5,72,17,54,0,38,Brick,1,Autumn,No
23.6,40,7,79,1,24,Concrete,0,Winter,No
44.1,62,3,98,4,35,Concrete,2,Summer,Yes
39.2,93,21,21,6,22,Brick,3,Summer,Yes
23.5,59,2,9,5,10,Concrete,1,Spring,No
30.6,64,3,86,1,17,Mud,2,Summer,Yes
21.8,74,13,4,2,13,Mud,0,Autumn,Yes
26.6,61,15,80,1,24,Brick,2,Autumn,No
19.3,63,11,22,2,22,Concrete,0,Spring,No
33.1,77,7,18,4,13,Brick,2,Summer,Yes
23.1,53,18,18,5,11,Brick,1,Winter,No
31.9,38,11,51,3,38,Mud,2,Spring,Yes
30.9,68,14,99,0,23,Concrete,2,Summer,Yes
28.4,64,18,91,2,23,Concrete,2,Autumn,No
41.4,78,22,97,4,20,Brick,3,Summer,Yes
37.8,73,5,60,5,19,Mud,3,Summer,Yes
22.4,40,13,11,0,39,Mud,0,Autumn,No
45.0,82,18,17,4,35,Brick,3,Summer,Yes
22.3,41,9,12,4,26,Brick,0,Spring,No
42.7,54,19,20,3,22,Mud,3,Summer,Yes
23.5,63,17,24,6,32,Brick,1,Spring,Yes
22.2,65,8,90,1,25,Concrete,1,Spring,No
34.0,65,11,61,3,37,Concrete,2,Autumn,Yes
10.2,50,11,47,3,24,Brick,0,Winter,No
13.2,44,4,80,0,35,Concrete,1,Winter,No
23.6,61,6,83,4,28,Brick,1,Spring,No
12.7,62,17,5,4,39,Brick,1,Winter,No
12.5,37,19,98,1,38,Mud,0,Winter,No
13.9,61,8,97,3,16,Brick,0,Winter,No
43.1,76,9,74,5,35,Mud,3,Summer,Yes
12.9,37,21,52,5,34,Mud,0,Winter,No
20.6,41,4,57,2,22,Concrete,1,Spring,No
24.6,54,15,40,1,38,Mud,1,Autumn,No
16.6,34,4,17,1,21,Mud,0,Winter,No
22.3,53,14,27,0,16,Mud,2,Autumn,No
21.9,52,9,25,0,10,Brick,1,Winter,No
31.6,41,5,85,0,15,Mud,3,Autumn,No
42.9,77,3,12,5,13,Brick,3,Summer,Yes
42.7,92,1,82,1,32,Mud,2,Summer,Yes
38.6,72,13,86,2,35,Concrete,2,Summer,Yes
38.9,85,19,19,2,34,Concrete,3,Summer,Yes
23.6,49,15,66,3,10,Mud,1,Autumn,No
29.0,69,14,38,4,40,Concrete,2,Spring,Yes
26.5,45,15,94,5,39,Mud,1,Spring,No
18.8,35,10,35,5,36,Mud,0,Spring,No
20.5,48,6,53,6,15,Concrete,1,Winter,No
34.2,83,19,23,2,8,Concrete,2,Summer,Yes
39.0,54,11,12,3,10,Mud,3,Summer,Yes
26.1,57,3,14,1,40,Concrete,2,Spring,No
13.0,34,2,18,0,20,Concrete,0,Winter,No
27.3,37,2,78,0,28,Concrete,1,Autumn,No
37.6,81,8,16,3,10,Concrete,2,Summer,Yes
21.8,35,16,33,6,30,Concrete,0,Winter,No
21.0,50,16,65,6,11,Brick,1,Spring,No
40.4,63,3,62,6,12,Brick,3,Summer,Yes
16.3,31,9,43,0,40,Brick,0,Winter,No
38.0,60,12,50,0,28,Concrete,3,Summer,Yes
42.5,55,1,41,3,30,Concrete,3,Summer,Yes
25.2,54,14,18,2,15,Mud,0,Autumn,Yes
42.5,81,0,21,3,40,Concrete,2,Summer,Yes
27.0,40,7,41,2,33,Mud,2,Spring,No
44.4,66,23,81,1,31,Mud,2,Summer,Yes
33.8,46,2,53,2,29,Concrete,3,Autumn,No
44.2,60,7,94,3,15,Concrete,3,Summer,Yes
22.5,69,15,55,0,26,Brick,1,Spring,No
35.7,69,7,53,0,22,Concrete,3,Summer,Yes
39.4,58,4,2,6,18,Mud,3,Summer,Yes
10.8,62,13,81,0,8,Mud,0,Winter,No
19.0,64,10,81,4,37,Mud,0,Spring,No
32.6,90,4,81,4,12,Brick,3,Summer,Yes
24.7,60,18,36,5,15,Mud,1,Spring,Yes
16.1,49,15,25,4,28,Concrete,0,Winter,No
26.4,62,16,24,1,9,Mud,1,Spring,Yes
21.5,49,22,44,1,28,Mud,2,Winter,No
20.7,62,17,97,1,37,Concrete,1,Winter,No
27.8,72,14,48,2,29,Mud,1,Autumn,Yes
44.4,75,12,47,5,24,Brick,3,Summer,Yes
20.4,48,5,73,3,27,Brick,1,Spring,No
29.9,67,18,24,4,28,Concrete,2,Spring,Yes
20.4,53,2,67,4,36,Mud,1,Autumn,No
22.7,46,0,85,5,25,Concrete,1,Spring,No
32.0,65,21,69,3,17,Mud,2,Summer,Yes
20.0,39,5,44,4,21,Brick,1,Spring,No
36.4,64,15,76,0,21,Mud,3,Summer,Yes
24.0,35,20,53,1,27,Mud,1,Autumn,No
19.4,38,18,84,6,18,Brick,0,Spring,No
40.8,51,6,93,6,40,Mud,3,Summer,Yes
14.7,33,23,19,0,10,Concrete,0,Winter,No
25.6,53,0,13,1,9,Concrete,1,Autumn,No
15.9,30,22,73,3,40,Mud,0,Winter,No
21.9,68,9,86,6,20,Brick,2,Spring,No
18.4,49,9,56,1,31,Mud,0,Spring,No
22.9,58,7,72,3,23,Brick,2,Spring,No
22.6,45,8,74,0,26,Mud,1,Winter,No
33.0,54,5,61,1,31,Brick,3,Autumn,Yes
17.3,58,12,78,1,22,Mud,1,Winter,No
11.5,51,18,24,2,17,Mud,0,Winter,No
23.4,69,8,34,2,18,Mud,1,Spring,No
32.9,38,1,50,5,25,Brick,2,Autumn,Yes
32.3,41,10,12,5,31,Brick,3,Autumn,No
30.3,67,0,9,1,29,Mud,2,Autumn,No
44.6,65,2,75,1,40,Mud,3,Summer,Yes
24.0,49,1,88,1,16,Concrete,1,Spring,No
37.1,71,6,37,3,9,Brick,3,Summer,Yes
22.1,41,16,97,0,33,Concrete,2,Autumn,No
32.9,60,19,30,4,18,Concrete,1,Summer,Yes
31.0,61,8,60,1,34,Mud,2,Summer,Yes
32.0,67,22,26,6,16,Brick,2,Summer,Yes
20.2,41,17,10,5,40,Brick,2,Spring,No
19.4,70,2,59,6,29,Brick,0,Autumn,No
20.7,68,13,90,6,16,Brick,0,Spring,No
35.8,76,15,45,0,34,Brick,3,Summer,Yes
23.2,68,20,54,3,17,Mud,1,Spring,No
20.8,59,6,31,4,18,Brick,1,Spring,No
26.2,48,6,97,2,25,Concrete,1,Spring,No
27.8,53,23,80,3,8,Brick,0,Spring,Yes
42.3,54,20,87,4,28,Brick,3,Summer,Yes
18.6,38,13,71,1,13,Brick,0,Autumn,No
27.9,65,7,20,4,11,Concrete,1,Spring,No
31.6,40,16,59,4,15,Mud,1,Spring,Yes
10.1,40,22,73,6,39,Concrete,0,Winter,No
22.5,62,12,56,3,17,Concrete,2,Spring,No
20.5,55,18,35,1,17,Mud,1,Spring,No
18.5,73,1,2,2,32,Mud,1,Autumn,No
18.0,32,10,50,5,27,Brick,1,Winter,No
27.7,42,20,84,2,26,Mud,0,Spring,Yes
34.9,75,0,73,0,10,Concrete,3,Summer,Yes
10.8,49,20,74,1,23,Brick,0,Winter,No
46.8,74,9,15,4,35,Mud,3,Summer,Yes
41.6,84,6,83,2,10,Brick,3,Summer,Yes
21.5,47,20,36,0,12,Concrete,1,Spring,No
44.4,54,5,44,1,26,Mud,3,Summer,Yes
20.5,30,2,7,5,27,Concrete,1,Winter,No
46.9,93,6,40,1,24,Brick,3,Summer,Yes
45.2,55,9,81,1,16,Brick,2,Summer,Yes
28.9,71,23,50,2,14,Brick,1,Autumn,Yes
31.1,74,20,94,5,12,Mud,2,Summer,Yes
29.6,39,1,5,4,35,Concrete,3,Autumn,No
35.5,78,22,70,1,39,Brick,3,Summer,Yes
47.0,72,3,0,1,30,Brick,3,Summer,Yes
26.2,53,18,59,2,29,Brick,1,Spring,No
39.1,51,14,78,0,11,Brick,3,Summer,Yes
18.3,39,4,22,0,32,Concrete,0,Winter,No
24.2,64,20,3,5,20,Brick,0,Spring,Yes
15.2,48,22,95,2,24,Mud,0,Winter,No
24.1,68,18,80,5,26,Brick,2,Autumn,No
22.9,33,22,89,4,25,Brick,1,Winter,No
18.5,56,16,78,6,24,Mud,0,Spring,No
26.5,68,18,64,6,23,Brick,0,Autumn,No
21.7,42,3,2,1,38,Mud,0,Winter,No
26.8,54,7,92,3,12,Concrete,2,Spring,No
40.5,77,15,51,4,25,Concrete,3,Summer,Yes
18.2,35,19,51,2,24,Brick,0,Spring,No
20.8,59,7,94,2,26,Brick,1,Autumn,No
27.7,54,23,2,1,16,Brick,0,Spring,Yes
42.7,61,12,68,4,18,Mud,2,Summer,Yes
18.3,50,15,56,4,32,Concrete,0,Autumn,No
44.6,91,2,13,6,20,Concrete,2,Summer,Yes
16.2,30,20,33,1,13,Brick,0,Winter,No
28.4,69,2,82,2,32,Mud,2,Autumn,No
24.6,71,20,67,3,23,Concrete,0,Autumn,No
34.0,85,15,5,2,17,Concrete,2,Summer,Yes
24.9,66,7,19,2,36,Concrete,2,Spring,No
21.7,58,22,90,3,12,Brick,1,Autumn,No
11.2,44,14,50,5,37,Brick,0,Winter,No
20.9,43,19,38,1,31,Concrete,1,Spring,No
30.3,60,8,73,6,34,Brick,3,Spring,Yes
29.4,48,17,6,3,38,Brick,2,Spring,Yes
21.8,62,16,40,6,21,Mud,1,Winter,No
19.1,64,13,39,3,17,Brick,0,Autumn,No
38.5,77,2,47,5,34,Brick,3,Summer,Yes
20.5,38,13,67,1,33,Mud,1,Autumn,No
46.1,83,9,38,0,36,Concrete,3,Summer,Yes
18.5,72,9,94,6,36,Brick,0,Autumn,No
38.0,80,12,90,2,15,Mud,3,Summer,Yes
13.5,58,3,3,6,39,Brick,1,Winter,No
38.7,60,22,81,1,19,Brick,2,Summer,Yes
32.3,57,9,52,6,37,Mud,2,Summer,Yes
24.4,35,19,18,0,25,Brick,1,Spring,No
20.8,43,18,86,2,23,Mud,0,Autumn,No
13.2,57,0,73,3,35,Mud,1,Winter,No
29.2,56,16,57,3,22,Concrete,1,Autumn,No
23.2,52,12,44,0,30,Concrete,2,Winter,No
45.1,56,1,22,5,27,Brick,3,Summer,Yes
11.6,42,18,10,0,29,Brick,0,Winter,No
39.2,76,22,45,2,25,Mud,3,Summer,Yes
27.3,68,12,63,5,19,Brick,1,Autumn,Yes
18.9,50,14,61,0,17,Brick,0,Spring,No
10.6,38,4,88,1,30,Mud,0,Winter,No
26.4,43,10,10,6,32,Brick,0,Spring,Yes
29.8,46,1,46,1,15,Concrete,2,Autumn,No
24.5,42,19,76,4,19,Brick,1,Spring,Yes
21.0,52,9,43,3,22,Mud,1,Winter,No
10.9,32,18,72,2,28,Brick,1,Winter,No
46.0,67,11,66,6,22,Brick,3,Summer,Yes
35.4,73,2,41,2,35,Brick,3,Summer,Yes
18.7,34,21,46,0,8,Mud,0,Winter,No
23.6,46,12,54,0,12,Mud,1,Spring,No
33.8,57,9,2,3,39,Mud,1,Summer,Yes
27.9,60,14,54,6,32,Concrete,1,Autumn,Yes
23.4,38,10,94,2,12,Concrete,1,Spring,No
18.9,51,22,39,3,28,Mud,0,Autumn,No
20.2,59,19,24,1,36,Mud,1,Spring,No
12.3,34,16,60,0,13,Brick,0,Winter,No
40.1,76,13,20,6,26,Concrete,3,Summer,Yes
19.2,66,5,66,0,13,Mud,1,Spring,No
23.9,69,3,32,3,34,Concrete,2,Spring,No
32.5,71,21,80,3,14,Mud,1,Summer,Yes
19.6,48,17,59,0,16,Brick,0,Autumn,No
33.1,61,11,20,4,16,Concrete,2,Summer,Yes
42.1,55,5,72,4,36,Brick,2,Summer,Yes
31.1,83,5,50,0,39,Mud,2,Summer,Yes
23.0,56,21,55,6,26,Brick,1,Autumn,No
19.6,59,19,64,4,23,Brick,0,Autumn,No
31.9,61,7,8,5,32,Mud,3,Summer,Yes
34.7,89,17,77,6,16,Brick,2,Summer,Yes
38.1,54,2,57,1,18,Mud,2,Summer,Yes
36.4,71,18,38,0,20,Mud,3,Summer,Yes
30.1,61,7,18,4,28,Brick,3,Summer,Yes
28.5,42,23,17,3,18,Concrete,2,Spring,No
19.1,52,0,79,4,28,Brick,0,Winter,No
13.8,38,14,81,3,12,Concrete,0,Winter,No
20.5,43,3,73,0,22,Mud,2,Spring,No
44.8,50,21,66,2,8,Brick,2,Summer,Yes
19.2,51,7,78,5,33,Brick,0,Winter,No
45.6,67,20,17,6,13,Concrete,3,Summer,Yes
15.5,59,14,26,1,13,Concrete,0,Winter,No
40.9,52,16,58,2,31,Mud,3,Summer,Yes
28.0,57,14,66,0,22,Brick,1,Spring,No
21.8,57,3,92,2,34,Brick,0,Spring,No
32.2,64,14,69,5,39,Brick,3,Summer,Yes
20.1,47,18,57,5,26,Concrete,1,Winter,No
23.9,31,1,6,1,35,Brick,1,Winter,No
20.9,48,0,16,4,17,Mud,0,Autumn,No
10.8,42,18,92,3,18,Concrete,1,Winter,No
40.2,52,16,23,0,10,Mud,3,Summer,Yes
42.1,58,13,99,3,30,Mud,3,Summer,Yes
17.1,51,22,76,1,34,Mud,0,Winter,No
44.7,72,3,14,4,17,Mud,2,Summer,Yes
41.0,84,9,25,3,27,Mud,3,Summer,Yes
32.7,38,17,65,3,38,Brick,1,Autumn,Yes
11.3,51,8,17,4,40,Brick,0,Winter,No
13.9,57,1,33,5,17,Concrete,0,Winter,No
21.3,64,16,47,1,17,Brick,1,Winter,No
31.7,79,12,16,0,12,Concrete,2,Summer,Yes
30.6,68,13,72,6,33,Mud,2,Spring,Yes
32.1,46,7,47,0,40,Brick,2,Autumn,No
21.3,33,2,81,2,17,Mud,0,Winter,No
16.7,49,20,34,0,15,Mud,0,Winter,No
23.4,40,14,17,4,30,Brick,2,Winter,No
35.5,81,22,10,4,29,Mud,2,Summer,Yes
18.9,31,15,13,2,9,Brick,0,Winter,No
38.4,54,5,49,0,39,Concrete,3,Summer,Yes
23.2,46,7,45,1,36,Brick,0,Winter,No
18.4,64,7,7,0,38,Concrete,0,Winter,No
18.9,41,17,87,0,11,Brick,0,Spring,No
43.6,53,13,61,1,35,Brick,3,Summer,Yes
23.2,46,6,70,0,10,Brick,1,Winter,No
22.7,44,21,52,1,19,Concrete,0,Autumn,No
41.4,87,19,13,4,37,Brick,2,Summer,Yes
14.6,57,4,50,2,19,Brick,0,Winter,No
35.4,58,8,27,4,36,Brick,3,Summer,Yes
32.3,76,8,44,0,37,Mud,3,Summer,Yes
37.2,77,0,66,6,25,Concrete,2,Summer,Yes
26.9,53,12,20,3,30,Brick,2,Autumn,No
19.9,48,16,24,6,29,Brick,1,Spring,No
19.7,30,11,65,5,10,Concrete,0,Winter,No
31.0,51,12,37,1,36,Mud,2,Autumn,Yes
30.9,72,11,30,4,15,Brick,2,Summer,Yes
31.8,54,8,27,4,11,Mud,2,Autumn,Yes
32.8,51,10,82,5,26,Brick,3,Autumn,Yes
35.6,69,7,44,0,27,Mud,2,Summer,Yes
30.3,55,3,34,0,30,Concrete,2,Spring,No
39.5,78,0,3,0,13,Concrete,3,Summer,Yes
21.1,64,6,45,3,34,Mud,1,Winter,No
40.5,67,7,48,2,34,Brick,3,Summer,Yes
25.7,68,16,43,5,35,Concrete,2,Spring,No
27.9,37,20,91,3,26,Brick,1,Spring,Yes
17.0,54,7,59,6,8,Concrete,0,Winter,No
29.5,64,18,34,2,21,Brick,2,Autumn,No
42.2,88,0,57,5,24,Concrete,3,Summer,Yes
29.3,39,23,24,6,22,Concrete,2,Autumn,No
43.0,91,12,52,4,36,Mud,3,Summer,Yes
19.5,67,3,38,5,39,Mud,0,Spring,No
19.9,46,7,80,4,15,Brick,0,Winter,No
26.7,56,21,45,1,12,Brick,1,Autumn,No
21.9,41,11,87,4,26,Brick,1,Winter,No
38.5,74,22,51,4,22,Brick,3,Summer,Yes
23.6,48,7,82,5,36,Brick,2,Winter,No
32.4,60,7,89,3,17,Brick,3,Summer,Yes
31.3,64,1,77,4,34,Brick,2,Summer,Yes
24.2,39,11,75,5,20,Concrete,1,Autumn,No
10.6,40,11,100,3,36,Concrete,1,Winter,No
19.8,35,12,99,1,22,Mud,0,Spring,No
13.2,62,8,66,2,18,Brick,1,Winter,No
36.2,65,3,84,2,17,Brick,2,Summer,Yes
28.7,73,8,56,5,37,Brick,2,Autumn,No
23.5,48,14,78,2,23,Mud,2,Winter,No
26.6,58,15,27,4,8,Concrete,0,Autumn,Yes
36.0,60,9,27,1,22,Mud,2,Summer,Yes
14.4,60,20,8,3,13,Brick,1,Winter,No
22.7,46,21,24,4,20,Brick,1,Winter,No
26.1,43,21,36,5,28,Mud,1,Spring,No
23.2,72,13,30,1,36,Brick,0,Autumn,No
20.6,36,18,9,4,19,Concrete,1,Spring,No
18.4,51,2,79,3,15,Brick,0,Winter,No
16.0,56,17,89,0,16,Brick,0,Winter,No
14.6,38,16,82,3,37,Concrete,0,Winter,No
44.5,83,21,84,2,32,Concrete,3,Summer,Yes
38.8,80,20,15,3,31,Concrete,3,Summer,Yes
42.9,86,13,94,1,37,Brick,3,Summer,Yes
22.1,54,17,96,5,34,Mud,0,Autumn,No
31.5,69,2,72,1,16,Concrete,2,Summer,Yes
17.2,56,10,15,5,28,Brick,0,Winter,No
20.6,53,3,99,3,18,Mud,1,Autumn,No
38.7,60,8,22,4,17,Concrete,3,Summer,Yes
30.7,60,8,49,3,31,Mud,2,Autumn,No
21.7,39,22,42,1,19,Concrete,2,Winter,No
27.8,53,0,22,4,18,Mud,0,Spring,Yes
41.0,72,18,65,2,8,Mud,2,Summer,Yes
10.3,39,1,15,3,29,Brick,1,Winter,No
32.3,89,13,22,0,31,Brick,2,Summer,Yes
44.3,69,15,77,2,28,Brick,2,Summer,Yes
